name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cbc:SettlementDiscountPercent,0..1,PercentType,,,The percentage for the settlement discount that is offered for payment under these payment terms.,
cbc:PenaltySurchargePercent,0..1,PercentType,,,"The penalty for payment after the settlement period, expressed as a percentage of the payment.",
cbc:PaymentPercent,0..1,PercentType,,,"The part of a payment, expressed as a percent, relevant for these payment terms.",
cbc:Amount,0..1,AmountType,,,The monetary amount covered by these payment terms.,
cbc:SettlementDiscountAmount,0..1,AmountType,,,The amount of a settlement discount offered for payment under these payment terms.,
cbc:PenaltyAmount,0..1,AmountType,,,The monetary amount of the penalty for payment after the settlement period.,
cbc:PaymentTermsDetailsURI,0..1,IdentifierType,,,The Uniform Resource Identifier (URI) of a document providing additional details regarding these payment terms.,
cbc:PaymentDueDate,0..1,DateType,,,The due date for these payment terms.,
cbc:InstallmentDueDate,0..1,DateType,,,The due date for an installment payment for these payment terms.,
cbc:InvoicingPartyReference,0..1,TextType,,,A reference to the payment terms used by the invoicing party. This may have been requested of the payer by the payee to accompany its remittance.,
cac:SettlementPeriod,0..1,,Period,,The period during which settlement may occur.,
cac:PenaltyPeriod,0..1,,Period,,The period during which penalties may apply.,
cac:ExchangeRate,0..1,,ExchangeRate,,The currency exchange rate for purposes of these payment terms.,
cac:ValidityPeriod,0..1,,Period,,The period during which these payment terms are valid.,
cac:PerformanceDataLine,,,,,A class to define a line in a Performance History.,
cbc:ID,1,IdentifierType,,,An identifier for this performance data line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:PerformanceValueQuantity,1,QuantityType,,,The value of the reported attribute.,
cbc:PerformanceMetricTypeCode,1,CodeType,,,A code signifying the measure of performance applicable to the reported attribute.,
cac:Period,0..1,,Period,,The period to which this performance data line applies.,
cac:Item,0..1,,Item,,The item whose performance is reported in this data line.,
cac:Period,,,,,A class to describe a period of time.,
cbc:StartDate,0..1,DateType,,,The date on which this period begins.,
cbc:StartTime,0..1,TimeType,,,The time at which this period begins.,
cbc:EndDate,0..1,DateType,,,The date on which this period ends.,
cbc:EndTime,0..1,TimeType,,,The time at which this period ends.,
cbc:DurationMeasure,0..1,MeasureType,,,"The duration of this period, expressed as an ISO 8601 code.",
cbc:DescriptionCode,0..n,CodeType,,,"A description of this period, expressed as a code.",
cbc:Description,0..n,TextType,,,"A description of this period, expressed as text.",
cac:Person,,,,,A class to describe a person.,
cbc:ID,0..1,IdentifierType,,,An identifier for this person.,
cbc:FirstName,0..1,NameType,,,This person's given name.,
cbc:FamilyName,0..1,NameType,,,This person's family name.,
cbc:Title,0..1,TextType,,,"This person's title of address (e.g., Mr, Ms, Dr, Sir).",
cbc:MiddleName,0..1,NameType,,,This person's middle name(s) or initials.,
cbc:OtherName,0..1,NameType,,,This person's second family name.,Delivery Dock 
cbc:NameSuffix,0..1,TextType,,,"A suffix to this person's name (e.g., PhD, OBE, Jr).",
cbc:JobTitle,0..1,TextType,,,This person's job title (for a particular role) within an organization.,
cbc:NationalityID,0..1,IdentifierType,,,An identifier for this person's nationality.,
cbc:GenderCode,0..1,CodeType,,,"A code (e.g., ISO 5218) signifying the gender of this person.",
cbc:BirthDate,0..1,DateType,,,This person's date of birth.,
cbc:BirthplaceName,0..1,TextType,,,"The name of the place where this person was born, expressed as text.",
cbc:OrganizationDepartment,0..1,TextType,,,The department or subdivision of an organization that this person belongs to (in a particular role).,
cac:Contact,0..1,,Contact,,Contact information for this person.,
cac:FinancialAccount,0..1,,FinancialAccount,,The financial account associated with this person.,
cac:IdentityDocumentReference,0..n,,DocumentReference,,"A reference to a document that can precisely identify this person (e.g., a driver's license).",
cac:ResidenceAddress,0..1,,Address,,This person's address of residence.,
cac:PhysicalAttribute,,,,,A class to describe a physical attribute.,
cbc:AttributeID,1,IdentifierType,,,An identifier for this physical attribute.,colour style 
cbc:PositionCode,0..1,CodeType,,,A code signifying the position of this physical attribute.,
cbc:DescriptionCode,0..1,CodeType,,,"A description of the physical attribute, expressed as a code.","XXL , Small "
cbc:Description,0..n,TextType,,,"A description of the physical attribute, expressed as text.",
cac:Pickup,,,,,A class to describe a pickup for delivery.,
cbc:ID,0..1,IdentifierType,,,An identifier for this pickup.,
cbc:ActualPickupDate,0..1,DateType,,,The actual pickup date.,
cbc:ActualPickupTime,0..1,TimeType,,,The actual pickup time.,
cbc:EarliestPickupDate,0..1,DateType,,,The earliest pickup date.,
cbc:EarliestPickupTime,0..1,TimeType,,,The earliest pickup time.,
cbc:LatestPickupDate,0..1,DateType,,,The latest pickup date.,
cbc:LatestPickupTime,0..1,TimeType,,,The latest pickup time.,
cac:PickupLocation,0..1,,Location,,The pickup location.,
cac:PickupParty,0..1,,Party,,The party responsible for picking up a delivery.,
cac:PowerOfAttorney,,,,,A class to describe a power of attorney.,
cbc:ID,0..1,IdentifierType,,,An identifier for this power of attorney.,
cbc:IssueDate,0..1,DateType,,,The date on which this power of attorney was issued.,
cbc:IssueTime,0..1,TimeType,,,The time at which this power of attorney was issued.,
cbc:Description,0..n,TextType,,,Text describing this power of attorney.,
cac:NotaryParty,0..1,,Party,,The party notarizing this power of attorney.,
cac:AgentParty,1,,Party,,The party who acts as an agent or fiduciary for the principal and who holds this power of attorney on behalf of the principal.,
cac:WitnessParty,0..n,,Party,,An association to a WitnessParty.,
cac:MandateDocumentReference,0..n,,DocumentReference,,A reference to a mandate associated with this power of attorney.,
cac:Price,,,,,"A class to describe a price, expressed in a data structure containing multiple properties (compare with UnstructuredPrice).",
cbc:PriceAmount,1,AmountType,,,The amount of the price.,
cbc:BaseQuantity,0..1,QuantityType,,,The quantity at which this price applies.,
cbc:PriceChangeReason,0..n,TextType,,,A reason for a price change.,"Clearance of old stock , New contract applies "
cbc:PriceTypeCode,0..1,CodeType,,,"The type of price, expressed as a code.",
cbc:PriceType,0..1,TextType,,,"The type of price, expressed as text.","retail, wholesale, discount, contract"
cbc:OrderableUnitFactorRate,0..1,RateType,,,The factor by which the base price unit can be converted to the orderable unit.,8.7
cac:ValidityPeriod,0..n,,Period,,A period during which this price is valid.,
cac:PriceList,0..1,,PriceList,,Information about a price list applicable to this price.,
cac:AllowanceCharge,0..n,,AllowanceCharge,,An allowance or charge associated with this price.,
cac:PricingExchangeRate,0..1,,ExchangeRate,,"The exchange rate applicable to this price, if it differs from the exchange rate applicable to the document as a whole.",
cac:PriceExtension,,,,,"A class to describe a price extension, calculated by multiplying the price per unit by the quantity of items.",
cbc:Amount,1,AmountType,,,The amount of this price extension.,
cac:TaxTotal,0..n,,TaxTotal,,A total amount of taxes of a particular kind applicable to this price extension.,
cac:PriceList,,,,,A class to describe a price list.,
cbc:ID,0..1,IdentifierType,,,An identifier for this price list.,
cbc:StatusCode,0..1,CodeType,,,"A code signifying whether this price list is an original, copy, revision, or cancellation.","new - announcement only , new and available , deleted - announcement only "
cac:ValidityPeriod,0..n,,Period,,A period during which this price list is valid.,
cac:PreviousPriceList,0..1,,PriceList,x,The previous price list.,
cac:PricingReference,,,,,A reference to the basis for pricing. This may be based on a catalogue or a quoted amount from a price list and include some alternative pricing conditions.,
cac:OriginalItemLocationQuantity,0..1,,ItemLocationQuantity,,"An original set of location-specific properties (e.g., price and quantity) associated with this item.",
cac:AlternativeConditionPrice,0..n,,Price,,"The price expressed in terms other than the actual price, e.g., the list price v. the contracted price, or the price in bags v. the price in kilos, or the list price in bags v. the contracted price in kilos.",
cac:ProcessJustification,,,,,A class to describe a justification for the choice of tendering process.,
cbc:PreviousCancellationReasonCode,0..1,CodeType,,,A code signifying the type of the previous tendering process (which is now being cancelled).,
cbc:ProcessReasonCode,0..1,CodeType,,,"The reason why the contracting authority has followed a particular tendering procedure for the awarding of a contract, expressed as a code.",
cbc:ProcessReason,0..n,TextType,,,"The reason why the contracting authority has followed a particular tendering procedure for the awarding of a contract, expressed as text.",
cbc:Description,0..n,TextType,,,Text providing justification for the selection of this process.,
cac:ProcurementProject,,,,,"A class to describe a project to procure goods, works, or services.",
cbc:ID,0..1,IdentifierType,,,An identifier for this procurement project.,
cbc:Name,1..n,NameType,,,A name of this procurement project.,
cbc:Description,0..n,TextType,,,Text describing this procurement project.,
cbc:ProcurementTypeCode,0..1,CodeType,,,"A code signifying the type of procurement project (e.g., goods, works, services).",
cbc:ProcurementSubTypeCode,0..1,CodeType,,,"A code signifying the subcategory of the type of work for this project (e.g., land surveying, IT consulting).",
cbc:QualityControlCode,0..1,CodeType,,,The indication of whether or not the control quality is included in the works project.,
cbc:RequiredFeeAmount,0..1,AmountType,,,The amount of the reimbursement fee for concession procurement projects.,
cbc:FeeDescription,0..n,TextType,,,Text describing the reimbursement fee for concession procurement projects.,
cbc:RequestedDeliveryDate,0..1,DateType,,,The requested delivery date for this procurement project.,
cbc:EstimatedOverallContractQuantity,0..1,QuantityType,,,The estimated overall quantity for this procurement project.,
cbc:Note,0..n,TextType,,,Free-form text applying to the Procurement Project. This element may contain additional information about the lot/contract that is not contained explicitly in another structure.,
cac:RequestedTenderTotal,0..1,,RequestedTenderTotal,,Budget monetary amounts for the project as whole.,
cac:MainCommodityClassification,0..1,,CommodityClassification,,An association to the main classification category for the deliverable requested.,
cac:AdditionalCommodityClassification,0..n,,CommodityClassification,,An association to additional classification categories for the deliverable requested.,
cac:RealizedLocation,0..n,,Location,,A place where this procurement project will be physically realized.,
cac:PlannedPeriod,0..1,,Period,,The period during which this procurement project is planned to take place.,
